pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
Kepler-1551 b,295.7855238,39.9078956,1463.72,488.4157845543702,-1010.9883685884627,939.0573882234129,,n
Kepler-1552 b,291.6768669,38.8749152,769.096,221.16311754381206,-556.4121894271403,482.70177968513656,,n
Kepler-1553 b,291.9191348,39.0221769,692.594,200.86319730982817,-499.18111508684785,436.07182796315135,,n
Kepler-1554 b,286.576016,41.7415762,946.847,201.55393707387813,-677.1344182118094,630.3841935930608,,n
Kepler-1555 b,287.6354587,45.7160327,2013.27,425.869073649533,-1339.632334466508,1441.2761128460786,,n
Kepler-1556 b,288.3969751,40.2131892,944.54,227.64010895529913,-684.4320552255407,609.8266591209028,,n
Kepler-1557 b,293.8813592,46.8388172,1380.16,382.2144260827055,-863.2740249886866,1006.7331900131737,,n
Kepler-1558 b,286.8194349,46.9117837,325.737,64.38721303110891,-212.99959413915633,237.88663868246425,,n
Kepler-1559 b,292.2866565,42.0725948,614.827,173.07933489967513,-422.2911264198515,411.9781405690587,,n
Kepler-156 b,290.2964214,37.7494271,443.483,121.63594838007694,-328.8878245039707,271.5044497678162,,n
Kepler-156 c,290.2964214,37.7494271,443.483,121.63594838007694,-328.8878245039707,271.5044497678162,,n
Kepler-1560 b,292.7846013,43.21601,502.497,141.82073282173644,-337.6321720720001,344.0852091166503,,n
Kepler-1561 b,296.9235822,43.5664628,839.076,275.29159547186885,-542.0762942774545,578.2874392730448,,n
Kepler-1562 b,294.4556567,46.7435353,2060.72,584.610087492391,-1285.445215332213,1500.8093024703899,,n
Kepler-1563 b,288.5735936,51.4727698,616.697,122.35474947789724,-364.1248313365953,482.44959559864594,,n
Kepler-1564 b,290.5861316,46.6427486,908.805,219.38520199562984,-584.0941071883161,660.7803985578117,,n
Kepler-1565 b,297.9529793,40.8067876,629.93,223.50087893222283,-421.17750351473916,411.66572914151567,,n
Kepler-1566 b,283.5875459,40.5749018,466.586,83.25909813120134,-344.47946847958457,303.48692520502743,,n
Kepler-1567 b,286.695153,40.2918894,1206.11,264.28917909681377,-881.1925420159868,779.9694005585959,,n
Kepler-1568 b,289.1826808,47.8733301,916.313,201.9581533960659,-580.5097610571784,679.5960826573302,,n
Kepler-1569 b,292.2046748,37.2212065,945.454,284.52215887371875,-697.0376931198567,571.899345685923,,n
Kepler-157 b,291.0972257,38.8756049,773.713,216.8145824864815,-561.9691409819407,485.60676248816026,,n
Kepler-157 c,291.0972257,38.8756049,773.713,216.8145824864815,-561.9691409819407,485.60676248816026,,n
Kepler-157 d,291.0972257,38.8756049,773.713,216.8145824864815,-561.9691409819407,485.60676248816026,,n
Kepler-1570 b,299.8617842,45.8274232,918.995,318.84915772953457,-555.3525220161222,659.1438393328871,,n
Kepler-1571 b,300.9354067,45.5964836,675.303,242.90612351380915,-405.2979629792583,482.4565453731122,,n
Kepler-1572 b,281.8973341,46.7227061,946.602,133.7812918319622,-634.984151527436,689.1683681574144,,n
Kepler-1573 b,292.9883129,49.4849664,1455.36,369.24743890761744,-870.386028883227,1106.4163859890414,,n
Kepler-1574 b,292.1586689,49.6377914,1384.16,338.1000300152852,-830.2002281242372,1054.6823486368435,,n
Kepler-1575 b,293.7432102,45.7615507,1246.92,350.2585300819473,-796.2790242828021,893.3466091008922,,n
Kepler-1576 b,289.0739641,40.3660239,460.91,114.76082353603948,-331.8971704074927,298.516749541512,,n
Kepler-1577 b,292.9552704,47.5730433,510.029,134.19972790905317,-316.8422383413615,376.47179160326465,,n
Kepler-1578 b,288.3021104,47.7756227,1064.05,224.5546069929626,-678.9065218487566,787.948961271896,,n
Kepler-1579 b,293.288022,43.5149061,,,,,,n
Kepler-158 b,284.0323723,39.7815365,315.177,58.72874929747347,-234.98247118732212,201.66981323354733,,n
Kepler-158 c,284.0323723,39.7815365,315.177,58.72874929747347,-234.98247118732212,201.66981323354733,,n
Kepler-1580 b,285.9687099,41.3635264,1002.02,206.89768892832873,-723.0280076308943,662.1691074773994,,n
Kepler-1581 b,287.3713199,39.6036225,493.175,113.44740665090407,-362.6471571855217,314.38560071104394,,n
Kepler-1582 b,289.3765441,41.1580845,78.8906,19.706259430771066,-56.03216178758927,51.92096833666114,,n
Kepler-1583 b,286.3869335,47.0165188,403.933,77.69558615013732,-264.20939914257156,295.49730588705523,,n
Kepler-1584 b,287.7626791,43.2743929,1416.31,314.58907292928615,-982.0274771661216,970.8706223716089,,n
Kepler-1585 b,296.1589897,44.5630457,944.465,296.66202260522573,-603.987755061023,662.7251106643857,,n
Kepler-1586 b,298.2026236,44.9258585,552.55,184.88573252516716,-344.77252480240304,390.20593864010925,,n
Kepler-1587 b,292.6777294,49.6638666,1026.48,256.1617014144138,-613.0434713117011,782.4449344270639,,n
Kepler-1588 b,288.2327232,48.0021967,924.141,193.46609509339112,-587.2997820351372,686.7943097840832,,n
Kepler-1589 b,294.4418236,40.5716114,1513.14,475.57440892098947,-1046.3670148804451,984.1431356005274,,n
Kepler-159 b,297.0702037,40.868734,373.744,128.61942833881216,-251.66704684230274,244.55125786524053,,n
Kepler-159 c,297.0702037,40.868734,373.744,128.61942833881216,-251.66704684230274,244.55125786524053,,n
Kepler-1590 b,291.4079141,48.0178915,771.152,188.27796379233155,-480.2334696318394,573.2387199933189,,n
Kepler-1591 b,296.5166659,44.6086233,1419.58,451.20302256320514,-904.3144338258834,996.914546791248,,n
Kepler-1592 b,293.850623,38.3977379,1639.47,519.5466330709753,-1175.1567346969193,1018.3024235761634,,n
Kepler-1593 b,300.4882018,44.4606698,638.249,231.12236567202464,-392.55273635208187,447.0420419486962,,n
Kepler-1594 b,293.6230451,47.9619127,976.868,262.123273447072,-599.3192875037349,725.519724450967,,n
Kepler-1595 b,285.7227502,43.0094855,845.022,167.444138800466,-594.7947980738521,576.4059238502464,,n
Kepler-1596 b,285.5575066,49.3300866,2146.23,375.13852618369583,-1347.4526692369013,1627.865351691925,,n
Kepler-1597 b,288.1639687,42.4810124,1221.05,280.7276256402212,-855.651070626539,824.6310375180291,,n
Kepler-1598 b,288.469107,46.7836464,619.862,134.46408124615104,-402.5920367430494,451.73882039261537,,n
Kepler-1599 b,286.2208685,41.1511886,1328.2,279.36946505788234,-960.2903681474047,874.0196512874264,,n
Kepler-16 b,289.0758307,51.757229,75.0852,15.189694022128934,-43.92513553753318,58.97154332865505,105.833,n
Kepler-160 b,287.773573,42.8692755,937.013,209.63285378024236,-653.9660607330434,637.4761330389216,,n
Kepler-160 c,287.773573,42.8692755,937.013,209.63285378024236,-653.9660607330434,637.4761330389216,,n
Kepler-160 d,287.773573,42.8692755,937.013,209.63285378024236,-653.9660607330434,637.4761330389216,100.0,n
Kepler-1600 b,291.3993802,38.7877563,1030.81,293.16579730773014,-748.0947653501322,645.7377900081839,,n
Kepler-1600 c,291.3993802,38.7877563,1030.81,293.16579730773014,-748.0947653501322,645.7377900081839,,n
Kepler-1601 b,285.5129496,38.079839,644.456,135.67646977034306,-488.80451570325835,397.4739952685714,,n
Kepler-1602 b,293.5808607,40.4275396,629.804,191.79001696210298,-439.3900262671521,408.41899151071266,,n
Kepler-1603 b,295.3298254,42.5349698,2712.58,855.1455495813178,-1806.6397140363927,1833.8127737306681,,n
Kepler-1604 b,285.4106549,44.4122318,541.189,102.7290295959482,-372.6846736382451,378.73264215595344,,n
Kepler-1605 b,287.1349405,47.4886251,546.23,108.74763497298285,-352.7241990708747,402.6497288929831,,n
Kepler-1606 b,286.3782987,43.0732287,831.287,171.22829981560332,-582.5984617435338,567.7129363378344,,n
Kepler-1607 b,296.0598685,42.6560582,1286.1,415.518029918906,-849.6837016209682,871.4560138136637,,n
Kepler-1608 b,295.563555,39.41757,,,,,,n
Kepler-1609 b,290.1465356,39.6658026,1826.04,484.1373264517475,-1319.6453334007451,1165.5768206213565,,n
Kepler-161 b,290.5164698,43.0838642,434.632,111.25372393002634,-297.30104840802846,296.8832614870508,,n
Kepler-161 c,290.5164698,43.0838642,434.632,111.25372393002634,-297.30104840802846,296.8832614870508,,n
Kepler-1610 b,295.9049795,45.4054296,864.331,265.1137603023495,-545.8595009758462,615.4836934101085,,n
Kepler-1610 c,295.9049795,45.4054296,864.331,265.1137603023495,-545.8595009758462,615.4836934101085,,n
Kepler-1611 b,296.5120204,49.7277506,908.444,262.13396114181705,-525.4832781317592,693.1259712029267,,n
Kepler-1612 b,291.2503022,45.6550536,764.726,193.73500360358304,-498.18095660098,546.8896944858735,,n
Kepler-1613 b,289.8750066,43.4209318,1508.33,372.44855433823784,-1030.2817685632401,1036.7550051181613,,n
Kepler-1614 b,284.8713893,49.7758867,1191.19,197.42703251859538,-743.4792068400726,909.5025299180636,,n
Kepler-1615 b,286.3592066,42.2273971,1393.83,290.70182122959955,-990.3227172640907,936.7579386930549,,n
Kepler-1616 b,286.5436691,45.3048716,1137.81,227.8710864391205,-767.1323553523378,808.8227948300108,,n
